ID|NAME|HOUR ESTIMATE|ROLE|
|Realizar el lanzamiento del ciclo #2 de TSPi.|5|T|
|Definir la estrategía de desarrollo del ciclo #2 de TSPi.|5|T|
|Elaborar el plan del ciclo #2 de TSPi.|2|PM|
|Prepararse para presentar al equipo la herramienta RedMine.|8|TL|
|Presentación al equipo de la herramienta RedMine.|2|T|
|Crear el esquema del documento de arquitectura.|1|PQM|
|Reunión de equipo para analizar la versión final del documento de requerimientos.|10|T|
|Elaborar la introducción del documento de arquitectura.|1|PQM|
|Elaborar el fondo del documento de arquitectura.|1|PQM|
|Elaborar el diagrama de contexto de la arquitectura.|3|DM|
|Documentar las tácticas y patrones a utilizar en el documento de arquitectura.|1|SM|
|Elaborar el 'physical data model' de la arquitectura.|3|TL|
|Elaborar el diagrama de flujo del algoritmo de calendarización.|4|PM|
|Elaborar el diagrama de la estructura de archivos del plug-in.|3|SM|
|Elaborar la conclusión del diagrama de arquitectura.|1|PQM|
|Cursar el tutorial básico de ruby(Ofrecido por la página).|2|T|
|Prepararse para presentar al equipo la herramienta Rails(Ruby).|8|SM|
|Presentación al equipo del framework Rails(Ruby).|2|T|
TOTAL=61horas
